x,y
0.643452,0.745437
0.262443,0.0457738
0.0720975,0.64068
0.68358,0.788701
0.712536,0.0552339
0.985419,0.453667
0.305442,0.894705
0.343037,0.354023
0.185229,0.734491
0.237225,0.463514
0.375753,0.222406
0.206406,0.0383241
0.0161024,0.0416597
0.702265,0.389614
0.690627,0.408684
0.731002,0.955113
0.699113,0.475879
0.180386,0.491343
0.253371,0.205882
0.332057,0.229591
0.0902752,0.388991
0.440031,0.167011
0.77725,0.207252
0.19255,0.593667
0.951094,0.61211
0.581606,0.603236
0.961496,0.446795
0.0857029,0.617945
0.127937,0.475868
0.190405,0.562577
0.00532213,0.746216
0.701309,0.645519
0.350155,0.423479
0.264276,0.121847
0.495332,0.103115
0.663089,0.979523
0.218154,0.178016
0.493474,0.790911
0.317849,0.381194
0.701015,0.759948
0.848949,0.524939
0.198239,0.874737
0.907046,0.104027
0.382733,0.899738
0.32668,0.057786
0.182876,0.659733
0.608846,0.216346
0.0345694,0.840266
0.8509,0.21282
0.311011,0.951475
0.364588,0.200561
0.771893,0.908041
0.319923,0.124036
0.117455,0.718751
0.00888063,0.0396816
0.299909,0.909426
0.794212,0.74091
0.628143,0.280633
0.337512,0.085455
0.867012,0.379396
0.03587,0.156924
0.62931,0.406909
0.400724,0.128248
0.748046,0.565202
0.70874,0.323944
0.487682,0.272348
0.886019,0.750293
0.285304,0.347061
0.0544446,0.0527538
0.536058,0.224826
0.332118,0.852861
0.558766,0.668247
0.429742,0.8892
0.378059,0.747974
0.400397,0.841798
0.521466,0.402921
0.096392,0.447717
0.936334,0.0414274
0.276759,0.894415
0.547534,0.387642
0.205729,0.330624
0.12223,0.163008
0.852521,0.432344
0.401165,0.931342
0.718203,0.623889
0.263368,0.425898
0.532407,0.0883785
0.423395,0.0466774
0.697651,0.597467
0.683984,0.910058
0.34721,0.997011
0.59153,0.552284
0.970459,0.712439
0.134875,0.0839763
0.580543,0.520459
0.403749,0.0218241
0.267306,0.626286
0.351219,0.583857
0.752017,0.427589
0.596795,0.350346
0.844926,0.0394298
0.63889,0.130683
0.915133,0.50257
0.243828,0.631468
0.0922239,0.353399
0.893001,0.798725
0.605223,0.723463
0.996941,0.623284
0.370107,0.416791
0.0405389,0.513753
0.800961,0.919917
0.935985,0.551603
0.776532,0.386488
0.412386,0.118343
0.96154,0.0581448
0.0420385,0.576461
0.149946,0.484106
0.655988,0.654287
0.497547,0.459629
0.789725,0.724185
0.516988,0.310965
0.690643,0.448364
0.161055,0.565103
0.0446536,0.366029
0.273914,0.284124
0.00128458,0.176793
0.512394,0.944031
0.412948,0.100656
0.706123,0.999018
0.071989,0.341224
0.818165,0.181966
0.294548,0.85991
0.503172,0.077119
0.65518,0.256733
0.0128553,0.238533
0.0512238,0.926342
0.245914,0.288017
0.950661,0.262884
0.487279,0.320193
0.438535,0.821287
0.85013,0.830221
0.53669,0.794081
0.766521,0.0691272
0.45274,0.0794447
0.180623,0.236557
0.61678,0.525391
0.929486,0.263815
0.000841448,0.284982
0.865021,0.175945
0.904904,0.828963
0.0875268,0.707828
0.204043,0.527874
0.563113,0.092413
0.0784029,0.587112
0.726891,0.929687
0.326581,0.465446
0.547942,0.77396
0.215499,0.424232
0.0933948,0.675125
0.101331,0.307218
0.981672,0.701687
0.152046,0.0451561
0.833276,0.163067
0.140496,0.602689
0.627437,0.281968
0.315668,0.0171997
0.403476,0.698053
0.869622,0.0718305
0.65078,0.38047
0.413396,0.608941
0.850103,0.439702
0.941873,0.20337
0.330979,0.782848
0.319306,0.0464386
0.209402,0.654552
0.029179,0.468659
0.583503,0.234174
0.147,0.542331
0.498137,0.423538
0.858222,0.617578
0.698176,0.315582
0.260118,0.26808
0.732355,0.29198
0.0368861,0.368739
0.894327,0.235855
0.266972,0.213365
0.838833,0.172064
0.484324,0.876343
0.307615,0.40827
0.741432,0.410877
0.943283,0.81899
0.398788,0.283562
0.266383,0.850469
0.780094,0.54315
0.243604,0.226102
0.203671,0.171071
0.382519,0.0106958
0.252054,0.502775
0.904774,0.589611
0.41328,0.3218
0.174822,0.544285
0.403993,0.0363525
0.772884,0.560179
0.147073,0.871268
0.718456,0.641968
0.13594,0.668305
0.208396,0.130198
0.594274,0.413227
0.661801,0.659913
0.285886,0.910736
0.130265,0.501774
0.917574,0.23097
0.470888,0.723416
0.278393,0.96044
0.617606,0.73981
0.834708,0.631542
0.0542449,0.288867
0.914193,0.971337
0.466303,0.270119
0.693045,0.414291
0.781565,0.551482
0.72002,0.0938226
0.651264,0.0127197
0.896217,0.586261
0.566304,0.600072
0.482557,0.549068
0.0361984,0.366253
0.521233,0.376295
0.561028,0.0612743
0.984125,0.187542
0.678618,0.13366
0.390872,0.394528
0.750145,0.550375
0.910482,0.409976
0.435029,0.388477
0.8658,0.748406
0.0334686,0.109134
0.545461,0.651937
0.112282,0.966276
0.433907,0.701439
0.495031,0.797578
0.618643,0.143734
0.755025,0.59504
0.23973,0.811283
0.27523,0.390853
0.0881824,0.850159
0.48572,0.702693
0.321076,0.287116
0.945745,0.254539
0.430702,0.237584
0.0389273,0.130465
0.272005,0.443018
0.663223,0.571985
0.573043,0.862107
0.828721,0.269105
0.130799,0.907773
0.547651,0.623647
0.321801,0.831305
0.288176,0.889499
0.860665,0.175114
0.465017,0.304331
0.19035,0.0772418
0.63753,0.0248672
0.684453,0.0804907
0.636821,0.504373
0.877449,0.789084
0.998037,0.133573
0.557161,0.472576
0.657826,0.504425
0.98904,0.61156
0.38459,0.149632
0.173877,0.883664
0.243644,0.485562
0.445989,0.849794
0.411856,0.056604
0.924701,0.503623
0.285611,0.910749
0.938886,0.993772
0.434725,0.143059
0.0325741,0.0875049
0.515045,0.311098
0.996104,0.683291
7.71548e-05,0.966375
0.38774,0.148891
0.52107,0.733668
0.743874,0.516664
0.661217,0.281054
0.397324,0.369559
0.468131,0.504966
0.847568,0.294647
0.925956,0.0980709
0.995189,0.571166
0.686458,0.500364
0.986669,0.0663108
0.875512,0.336177
0.196918,0.244632
0.100825,0.158578
0.751452,0.629434
0.757424,0.829473
0.0785948,0.397792
0.00743444,0.116189
0.993517,0.187353
0.837469,0.926307
0.201957,0.985151
0.389,0.605654
0.959218,0.398223
0.625056,0.574121
0.508792,0.661058
0.341664,0.687385
0.833607,0.578266
0.210852,0.999298
0.163795,0.600948
0.51277,0.230491
0.580245,0.699581
0.168968,0.925849
0.918598,0.588083
0.953601,0.306816
0.978868,0.355759
0.826836,0.449894
0.127189,0.706594
0.333008,0.198441
0.232219,0.638809
0.527331,0.832034
0.262971,0.920146
0.300864,0.927567
0.0359535,0.728921
0.594264,0.906904
0.423706,0.906165
0.229752,0.701574
0.405624,0.768836
0.415166,0.164296
0.893797,0.326515
0.166119,0.799405
0.618921,0.655991
0.924731,0.255671
0.80822,0.123862
0.341965,0.0433555
0.525376,0.672362
0.90725,0.321702
0.443167,0.116502
0.655926,0.0318495
0.926484,0.0851418
0.0458933,0.718401
0.53533,0.396095
0.478356,0.447698
0.455823,0.494762
0.792061,0.31581
0.103216,0.555695
0.273989,0.0496855
0.927087,0.63885
0.0425873,0.11845
0.155798,0.112128
0.721686,0.916036
0.139919,0.620663
0.361999,0.97665
0.0396296,0.666345
0.147079,0.61737
0.39354,0.0647072
0.724251,0.439772
0.230129,0.673288
0.890537,0.277105
0.243577,0.298443
0.486546,0.894444
0.00952966,0.26612
0.341336,0.00303578
0.82222,0.0759753
0.0715052,0.365875
0.800817,0.717011
0.477613,0.27353
0.0949063,0.433439
0.0893433,0.851054
0.681459,0.737003
0.617157,0.695687
0.540714,0.296562
0.467934,0.695875
0.640238,0.569017
0.921569,0.331864
0.991235,0.17748
0.98459,0.688983
0.987013,0.350832
0.920546,0.395918
0.176012,0.696227
0.922301,0.143666
0.627453,0.404374
0.199496,0.191994
0.313197,0.00768971
0.108049,0.619523
0.32728,0.614266
0.485367,0.926449
0.801186,0.681143
0.659134,0.321559
0.735831,0.10087
0.946662,0.868144
0.612455,0.615761
0.938577,0.517683
0.782706,0.504248
0.883516,0.126018
0.171647,0.431042
0.979383,0.539317
0.353972,0.863048
0.634055,0.380408
0.240782,0.134178
0.691776,0.2184
0.493272,0.320803
0.845857,0.301054
0.524409,0.497055
0.106024,0.515504
0.0246797,0.631406
0.195273,0.335997
0.754359,0.958275
0.96133,0.531358
0.745869,0.430167
0.454491,0.393624
0.393778,0.920435
0.185915,0.968566
0.484539,0.408155
0.720442,0.470009
0.135398,0.606171
0.821474,0.142926
0.804809,0.114175
0.748923,0.109648
0.0743934,0.374133
0.330034,0.930404
0.712998,0.695298
0.649255,0.0670356
0.60105,0.0498249
0.682791,0.420175
0.817834,0.0985884
0.0836456,0.772655
0.0992263,0.216893
0.896155,0.0201141
0.883217,0.157057
0.852395,0.999544
0.884135,0.538785
0.619565,0.379451
0.446479,0.705439
0.45041,0.578868
0.459066,0.233607
0.888142,0.455545
0.381845,0.211598
0.737694,0.404884
0.127262,0.39652
0.701889,0.0907357
0.304228,0.967542
0.232485,0.302964
0.778263,0.313802
0.230247,0.578801
0.521469,0.200005
0.467151,0.410053
0.0908566,0.287759
0.546309,0.34847
0.27066,0.798563
0.0243505,0.143891
0.454322,0.168299
0.741744,0.275486
0.0265479,0.818245
0.642078,0.480508
0.0623266,0.863332
0.9108,0.0262414
0.700087,0.538596
0.354742,0.140804
0.626849,0.352888
0.812227,0.606548
0.189094,0.730494
0.65446,0.121011
0.325367,0.161487
0.869919,0.0789
0.278953,0.884544
0.468086,0.416959
0.669129,0.817409
0.791805,0.722668
0.225118,0.761436
0.811847,0.332686
0.684567,0.726296
0.953641,0.294952
0.520504,0.507813
0.779073,0.711873
0.416853,0.491815
0.895877,0.980145
0.839145,0.70507
0.300073,0.381541
0.537551,0.433594
0.489389,0.873392
0.924484,0.0790663
0.113044,0.340529
0.516455,0.305893
0.216958,0.0214809
0.0137274,0.881584
0.373723,0.644464
0.741574,0.302589
0.71064,0.0847624
0.284183,0.923143
0.886241,0.959308
0.0879551,0.0388526
0.353244,0.526852
0.0480383,0.518407
0.13212,0.348454
0.647448,0.968021
0.483066,0.0854157
0.295716,0.232485
0.102125,0.758656
0.837097,0.661907
0.997193,0.0901621
0.836559,0.92324
0.513126,0.0860178
0.978303,0.0976363
0.832474,0.481415
0.685418,0.665144
0.878429,0.366688
0.608991,0.697232
0.573862,0.529717
0.50101,0.400714
0.795662,0.263515
0.344181,0.477725
0.890178,0.380492
0.475136,0.6353
0.860405,0.970194
0.646855,0.463405
0.143806,0.929313
0.315241,0.851325
0.153338,0.203018
0.233023,0.253496
0.31518,0.348084
0.183846,0.988121
0.638229,0.608191
0.620278,0.411765
0.0637796,0.756371
0.98387,0.161898
0.31667,0.62333
0.88456,0.32735
0.642245,0.479617
0.270703,0.942428
0.984434,0.956161
0.683385,0.104982
0.619071,0.285312
0.192164,0.132201
0.702906,0.116715
0.623076,0.000933541
0.443863,0.880427
0.137728,0.279639
0.291899,0.765369
0.0543022,0.611921
0.525731,0.315985
0.570188,0.636724
0.342399,0.918804
0.161139,0.817799
0.438206,0.950015
0.603843,0.755444
0.246025,0.0438062
0.684966,0.9208
0.649129,0.807839
0.40393,0.723532
0.222333,0.0331662
0.336723,0.356761
0.201843,0.549768
0.430966,0.540304
0.911396,0.86529
0.683307,0.0133597
0.61892,0.711725
0.900641,0.361013
0.860738,0.687497
0.110326,0.0819839
0.745353,0.544213
0.465991,0.994359
0.511865,0.71263
0.649319,0.144901
0.77816,0.357113
0.491367,0.532391
0.971507,0.044704
0.699661,0.788682
0.708587,0.120919
0.598084,0.88494
0.215713,0.0737444
0.165544,0.25813
0.869918,0.891708
0.613572,0.775597
0.857928,0.388024
0.131712,0.555392
0.124224,0.553478
0.281244,0.518321
0.160174,0.760546
0.754348,0.790796
0.713241,0.373832
0.0587686,0.273265
0.431489,0.912402
0.538967,0.925319
0.76623,0.468615
0.847691,0.499928
0.700335,0.870581
0.550415,0.542851
0.627645,0.167746
0.731629,0.616258
0.411273,0.130488
0.741663,0.672153
0.743226,0.486991
0.79139,0.69512
0.888534,0.825424
0.247786,0.823201
0.40805,0.883795
0.395826,0.235592
0.781765,0.377674
0.751661,0.731872
0.875757,0.740799
0.421285,0.134641
0.590099,0.649987
0.90868,0.602657
0.520806,0.781441
0.748087,0.513537
0.818061,0.957356
0.881546,0.152668
0.566059,0.238029
0.313007,0.798
0.154155,0.761683
0.785092,0.504258
0.305168,0.941373
0.862409,0.919909
0.686153,0.030232
0.0592833,0.64518
0.724485,0.340054
0.767369,0.490817
0.1729,0.93157
0.21217,0.699554
0.0532268,0.605416
0.629245,0.219089
0.23965,0.567043
0.208685,0.323064
0.721928,0.111986
0.284189,0.130274
0.283147,0.14665
0.559896,0.447208
0.309581,0.849012
0.265953,0.71034
0.890853,0.154044
0.612377,0.677663
0.167538,0.520409
0.769294,0.469619
0.200513,0.676191
0.927297,0.832246
0.274337,0.532083
0.205164,0.259313
0.845402,0.716673
0.0113433,0.0695089
0.233927,0.423783
0.716992,0.00674798
0.540064,0.780961
0.486967,0.511953
0.694379,0.873016
0.519412,0.361734
0.649895,0.357464
0.191017,0.88197
0.964759,0.673792
0.823724,0.182222
0.858806,0.0277094
0.704452,0.08844
0.375452,0.866391
0.0820639,0.153832
0.806234,0.678961
0.198053,0.0136857
0.923783,0.21889
0.209769,0.940592
0.453911,0.0371774
0.0829739,0.980283
0.360803,0.377796
0.367,0.0597455
0.697381,0.808178
0.0762228,0.462355
0.339228,0.554853
0.58494,0.251796
0.236219,0.830076
0.741099,0.101185
0.510414,0.710027
0.386078,0.529606
0.734048,0.754055
